SampleID	SS_error	RA	Level	Time	Site
314	1.221848791	-1.755148612	L1	Day0	HL
315	0.124938737	-1.769159327	L1	Day0	HL
316	0.778151252	-1.648693281	L1	Day0	HL
317	0	-1.911036485	L1	Day0	HL
318	1.920818795	-1.887036209	L1	Day0	HL
319	0.301029996	-1.545888989	L1	Day0	HL
320	0.124938737	-1.851197783	L1	Day0	HL
321	1.221848791	-1.947034139	L1	Day0	HL
322	0	-1.921020706	L1	Day0	HL
323	0.602059991	-1.721980249	L1	Day0	HL
324	0.019971081	-0.294179214	L1	Day0	HL
325	0.698970006	-1.855519157	L1	Day0	HL
326	0.544068046	-1.443899451	L1	Day0	HL
327	0.301029996	-1.791061168	L1	Day0	HL
328	1.823908782	-1.992196297	L1	Day0	HL
329	0.028028723	-0.485746867	L1	Day0	HL
330	0.301029996	-1.802440714	L1	Day0	HL
331	1.698970046	-1.877795552	L1	Day0	HL
332	0	-1.765614046	L1	Day0	HL
333	0.113943353	-0.948107795	L1	Day0	HL
334	0.301029997	-1.688201822	L1	Day0	HL
335	0.477121256	-1.012909917	L1	Day0	HL
336	0.243038049	-1.541651937	L1	Day0	HL
337	6.92E-10	-1.145401791	L1	Day0	HL
338	0.367976787	-1.565484545	L1	Day0	HL
339	0.301029996	-1.595447769	L1	Day0	HL
340	0.477121255	-1.980457893	L1	Day0	HL
341	1.522878787	-1.691166301	L1	Day0	HL
342	1.221848791	-1.810196178	L1	Day0	HL
343	1.823908782	-1.89173133	L1	Day0	HL
344	0.017490732	-0.306270599	L1	Day0	HL
345	1.221848791	-1.921020705	L1	Day0	HL
346	0.367976785	-1.656862069	L1	Day0	HL
347	0.477121258	-1.887036208	L1	Day0	HL
348	1.920818795	-1.969028432	L1	Day0	HL
349	0.301029996	-1.450685441	L1	Day0	HL
350	0.176091259	-1.561052931	L1	Day0	HL
351	0.176091259	-1.896477765	L1	Day0	HL
352	0	-1.638035213	L1	Day0	HL
353	0.477121255	-1.90612915	L1	Day0	HL
354	0	-1.70018312	L1	Day0	HL
355	1.221848791	-1.08836329	L1	Day0	HL
356	1.698970046	-1.947034139	L1	Day0	HL
357	0.138302699	-0.939591944	L1	Day0	HL
358	0.066946791	-1.241677334	L1	Day0	HL
359	0.121733597	-0.599041949	L1	Day0	HL
360	0.397940011	-1.787333295	L1	Day0	HL
361	1.823908782	-1.838485818	L1	Day0	HL
362	1.698970046	-1.772733786	L1	Day0	HL
363	0.477121255	-1.667998436	L1	Day0	HL
364	0.528273778	-0.831855237	L1	Day0	HL
365	0	-1.89173133	L1	Day0	HL
366	0	-1.915999905	L1	Day0	HL
367	0.007178585	0.811363704	L1	Day0	HL
368	0.092754052	-0.708152048	L1	Day0	HL
369	0	-1.662394559	L1	Day0	HL
370	0.698970004	-1.734945226	L1	Day0	HL
371	1.522878787	-1.921020706	L1	Day0	HL
372	0.301029996	-1.941705305	L1	Day0	HL
373	0.014723257	-0.454118615	L1	Day0	HL
374	0.698970004	-1.794821317	L1	Day0	HL
375	1.522878787	-1.974705565	L1	Day0	HL
376	0	-0.405732309	L1	Day0	HL
377	0.301029996	-1.969028432	L1	Day0	HL
378	0.189056236	-1.081732711	L1	Day0	HL
379	0	-1.877795552	L1	Day0	HL
380	0.301029996	-1.896477765	L1	Day0	HL
381	0	-1.980457894	L1	Day0	HL
382	0	-1.952429171	L1	Day0	HL
383	9.44E-10	-1.024930487	L1	Day0	HL
384	0.477121255	-1.926100231	L1	Day0	HL
385	0.124938737	-0.84606826	L1	Day0	HL
386	0.070581075	-0.716269938	L1	Day0	HL
387	0.301029996	-1.810196178	L1	Day0	HL
388	0.045757491	-0.938539108	L1	Day0	HL
389	1.522878787	-1.992196297	L1	Day0	HL
390	1.522878787	-1.963424555	L1	Day0	HL
391	0.301029996	-1.855519157	L1	Day0	HL
392	0.036722807	-0.564594596	L1	Day0	HL
393	0.301029996	-1.952429171	L1	Day0	HL
394	0.176091259	-1.980457894	L1	Day0	HL
395	0.047923552	-0.293583392	L1	Day0	HL
396	0	-1.980457893	L1	Day0	HL
397	0.011581872	-0.521266513	L1	Day0	HL
398	1.522878787	-1.941705305	L1	Day0	HL
399	0.301029996	-1.830213292	L1	Day0	HL
400	0.301029996	-1.734945226	L1	Day0	HL
401	1.823908782	-1.947034139	L1	Day0	HL
402	0.078286715	-0.237157225	L1	Day0	HL
403	1.221848791	-1.873247925	L1	Day0	HL
404	0.197810509	-0.587643736	L1	Day0	HL
405	0.301029996	-1.963424555	L1	Day0	HL
406	0.160851292	-0.70139963	L1	Day0	HL
407	0.051152522	-0.360808131	L1	Day0	HL
408	0.124938738	-1.394621314	L1	Day0	HL
409	0.045757491	-0.471165742	L1	Day0	HL
410	0.033723372	0.08698495	L1	Day0	HL
411	0.059997929	-0.822497711	L1	Day0	HL
412	0.367976785	-1.539548812	L1	Day0	HL
413	0.011899224	-0.556666079	L1	Day0	HL
414	0.397940009	-1.600246652	L1	Day0	HL
415	0.301029996	-1.921020706	L1	Day0	HL
416	0.24303805	-1.316443057	L1	Day0	HL
417	0	-0.974705563	L1	Day0	HL
418	0.037788561	-0.530619659	L1	Day0	HL
419	0.22184875	-1.527139554	L1	Day0	HL
420	0.602059991	-1.980457894	L1	Day0	HL
421	0.602059991	-1.579057353	L1	Day0	HL
422	0.199572356	-0.965098137	L1	Day0	HL
423	0.146128038	-1.216032667	L1	Day0	HL
424	0.15490196	-0.639617342	L1	Day0	HL
425	0	-1.864293082	L1	Day0	HL
426	0.301029996	-1.791061168	L1	Day0	HL
427	0.367976787	-1.78363715	L1	Day0	HL
428	0	-0.388207093	L1	Day0	HL
429	0.079181245	-0.880087347	L1	Day0	HL
430	0.352182518	-0.908575885	L2	Day0	HL
431	0.184060189	-0.738911412	L2	Day0	HL
432	0.079181246	-1.82613538	L2	Day0	HL
433	0.522878745	-1.947034139	L2	Day0	HL
434	0.029963224	-0.682332887	L2	Day0	HL
435	1.903090029	-1.931239872	L2	Day0	HL
436	1.301030037	-1.691166301	L2	Day0	HL
437	0.088324626	-0.494169131	L2	Day0	HL
438	0	-1.270058426	L2	Day0	HL
439	0.698970004	-1.57448579	L2	Day0	HL
440	0.017608945	1.055606479	L2	Day0	HL
441	0.007825337	-0.528569162	L2	Day0	HL
442	0.085629003	-0.897433307	L2	Day0	HL
443	0.096910013	-1.82613538	L2	Day0	HL
444	0.098925305	-0.543765295	L2	Day0	HL
445	0.221848751	-1.355832074	L2	Day0	HL
446	1.778151292	-1.911036485	L2	Day0	HL
447	0.294399417	-0.918001263	L2	Day0	HL
448	1.823908782	-1.877795552	L2	Day0	HL
449	0.464886798	-1.32149305	L2	Day0	HL
450	0.080519597	-1.115946812	L2	Day0	HL
451	0.556302501	-1.802440714	L2	Day0	HL
452	0.06043181	-0.263009308	L2	Day0	HL
453	0.32905872	-0.943828997	L2	Day0	HL
454	0.68124124	-1.931239871	L2	Day0	HL
455	0.477121257	-1.855519157	L2	Day0	HL
456	0.68124124	-1.798614306	L2	Day0	HL
457	0.173544071	-0.714383066	L2	Day0	HL
458	0.292256071	-0.515273394	L2	Day0	HL
459	0.017911589	-0.615469384	L2	Day0	HL
460	0.22184875	-1.610006489	L2	Day0	HL
461	0.046996564	-0.970157936	L2	Day0	HL
462	0.132866105	-0.466707742	L2	Day0	HL
463	1.698970046	-1.776337912	L2	Day0	HL
464	0.079181246	-1.998186661	L2	Day0	HL
465	0.04026318	-0.683208187	L2	Day0	HL
466	0.094975514	-0.716269938	L2	Day0	HL
467	0.079181246	-1.846918986	L2	Day0	HL
468	0.034905461	0.330249578	L2	Day0	HL
469	0	-1.016670065	L2	Day0	HL
470	1.602060033	-1.868747423	L2	Day0	HL
471	0.079181246	-1.830213292	L2	Day0	HL
472	1.301030037	-1.080272896	L2	Day0	HL
473	0.056904851	-0.892203644	L2	Day0	HL
474	0.037788561	-1.135359852	L2	Day0	HL
475	0.255272509	-1.167990195	L2	Day0	HL
476	0.367976788	-1.023010243	L2	Day0	HL
477	0.065062646	0.170400843	L2	Day0	HL
478	0.055517328	-0.891259525	L2	Day0	HL
479	0.075720715	-0.736263266	L2	Day0	HL
480	0.14976232	-0.832266696	L2	Day0	HL
481	0.158362492	-0.739908644	L2	Day0	HL
482	0.184060189	-1.044614875	L2	Day0	HL
483	0.00513964	-0.564816912	L2	Day0	HL
484	0.301029997	-0.995181149	L2	Day0	HL
485	0.018271296	0.722890815	L2	Day0	HL
486	0.191885526	-0.607545889	L2	Day0	HL
487	0.255272505	-0.711256382	L2	Day0	HL
488	0.698970006	-1.738247861	L2	Day0	HL
489	0.301029996	-1.926100232	L2	Day0	HL
490	0.176091258	-1.202306642	L2	Day0	HL
491	0.397940009	-1.830213292	L2	Day0	HL
492	0.477121257	-1.457579148	L2	Day0	HL
493	0.104004829	-0.885637512	L2	Day0	HL
494	0.0068859	0.25182651	L2	Day0	HL
495	0.096910013	-1.941705305	L2	Day0	HL
496	0.158362492	-1.706300045	L2	Day0	HL
497	0.421421104	-0.974134499	L2	Day0	HL
498	0.080519597	-0.807077352	L2	Day0	HL
499	0.494154596	-1.10117082	L2	Day0	HL
500	0.00300551	-0.88517228	L2	Day0	HL
501	0.083546052	-0.943828997	L2	Day0	HL
502	0.032792513	-0.888439421	L2	Day0	HL
503	0.22184875	-1.947034139	L2	Day0	HL
504	1.698970046	-0.194179816	L2	Day0	HL
505	0.199572355	-0.92610023	L2	Day0	HL
506	0.066946789	-1.169777417	L2	Day0	HL
507	0.142667504	-1.630209875	L2	Day0	HL
508	0.142667504	-1.78363715	L2	Day0	HL
509	0.425968735	-1.217029899	L2	Day0	HL
510	0.059121453	-1.229178789	L2	Day0	HL
511	0.096910013	-1.659619505	L2	Day0	HL
512	0.012234456	-1.201342614	L2	Day0	HL
513	0.142667502	-1.27459418	L2	Day0	HL
514	0.221848751	-1.337005217	L2	Day0	HL
515	0.079181246	-1.253459165	L2	Day0	HL
516	0.017728767	-0.965098137	L2	Day0	HL
517	0.066946789	-1.440545808	L2	Day0	HL
518	1.602060033	-1.998186661	L2	Day0	HL
519	0.057991948	-0.744929445	L2	Day0	HL
520	0.041763244	0.455067959	L2	Day0	HL
521	0.142667503	-1.304069158	L2	Day0	HL
522	0.079181246	-1.409914954	L2	Day0	HL
523	0.158362492	-1.015413061	L2	Day0	HL
524	0.225309283	-1.070901863	L2	Day0	HL
525	0.031124439	-0.131817262	L2	Day0	HL
526	1.38E-09	-1.192761324	L2	Day0	HL
527	0.346787484	-1.381302892	L2	Day0	HL
528	0.096910015	-1.276879946	L2	Day0	HL
529	0.459392489	-1.375512214	L2	Day0	HL
530	0.079181248	-1.416186463	L2	Day0	HL
531	0.017728769	-1.294417773	L2	Day0	HL
532	2.066946833	-1.457579148	L2	Day0	HL
533	0.124938737	-0.765614044	L2	Day0	HL
534	0.380211244	-1.325319458	L2	Day0	HL
535	0.213879821	-0.92610023	L2	Day0	HL
536	0.096910013	-1.846918986	L2	Day0	HL
537	0.556302501	-1.765614046	L2	Day0	HL
538	0.142667506	-1.252374784	L2	Day0	HL
539	0.079181245	-1.273455793	L2	Day0	HL
540	0.204119983	-1.477121256	L2	Day0	HL
541	0.009001244	0.276131582	L2	Day0	HL
542	0.151731916	-1.283810325	L2	Day0	HL
543	0.522878745	-1.464584049	L2	Day0	HL
544	0.045757491	-1.427384363	L2	Day0	HL
545	0.464886798	-1.390136305	L2	Day0	HL
546	0.301029996	-1.337005216	L2	Day0	HL
547	0.494154595	-1.255636084	L2	Day0	HL
548	0.014434433	0.417157722	L2	Day0	HL
549	0.142667504	-1.359974819	L2	Day0	HL
550	0.22184875	-1.462822204	L2	Day0	HL
551	0.18406019	-1.15568143	L2	Day0	HL
552	0.096910012	-1.399153124	L2	Day0	HL
553	0.556302502	-1.249137791	L2	Day0	HL
554	0.033423756	-1.300424708	L2	Day0	HL
555	0.77815125	-1.440545809	L2	Day0	HL
556	0.056481356	0.141867229	L2	Day0	HL
557	0.522878747	-1.353092037	L2	Day0	HL
558	0.556302501	-1.643331553	L2	Day0	HL
559	0.41497335	-1.25021411	L2	Day0	HL
560	0.15836249	-1.286145247	L2	Day0	HL
561	0.025678171	0.496933506	L2	Day0	HL
562	0.556302501	-1.374076528	L2	Day0	HL
563	0.273001272	-1.170673795	L2	Day0	HL
564	0.318758764	-1.282647554	L2	Day0	HL
565	0.012234458	-1.362758768	L2	Day0	HL
566	0.096910013	-1.868747423	L2	Day0	HL
567	0.221848748	-1.558853967	L2	Day0	HL
568	0.397940011	-1.325319458	L2	Day0	HL
