SampleID	SS_error	RA	Level	Time	Site
187	0.049218023	-1.038373934	L1	Day0	HL
188	0.021189299	-1.042631757	L1	Day0	HL
189	0.079181246	-1.042631757	L1	Day0	HL
190	0.182930684	-1.0490978	L1	Day0	HL
191	0.113943352	-1.0490978	L1	Day0	HL
192	0.019305155	-1.051274719	L1	Day0	HL
193	0.14976232	-1.051274719	L1	Day0	HL
194	0.070581074	-1.051274719	L1	Day0	HL
195	0.044203662	-1.053462605	L1	Day0	HL
196	0.119186408	-1.055661569	L1	Day0	HL
197	0.138302698	-1.055661569	L1	Day0	HL
198	0.064457989	-1.057871724	L1	Day0	HL
199	0.111973759	-1.062326065	L1	Day0	HL
200	0	-1.062326065	L1	Day0	HL
201	0.04830468	-1.064570486	L1	Day0	HL
202	0.204119983	-1.066826566	L1	Day0	HL
203	0.184524427	-1.066826566	L1	Day0	HL
204	0.024823584	-1.066826566	L1	Day0	HL
205	0.236089189	-1.069094428	L1	Day0	HL
206	0.258278015	-1.073665991	L1	Day0	HL
207	0.070581074	-1.075969946	L1	Day0	HL
208	0	-1.078286189	L1	Day0	HL
209	0.106455331	-1.078286189	L1	Day0	HL
210	0.268845312	-1.078286189	L1	Day0	HL
211	0.130333768	-1.082956067	L1	Day0	HL
212	0.017033339	-1.087676705	L1	Day0	HL
213	0.184524427	-1.087676705	L1	Day0	HL
214	0.166331422	-1.090056407	L1	Day0	HL
215	0.118099312	-1.090056407	L1	Day0	HL
216	0.115393419	-1.09244922	L1	Day0	HL
217	0.141329153	-1.09244922	L1	Day0	HL
218	0.124938737	-1.09244922	L1	Day0	HL
219	0.21387982	-1.09244922	L1	Day0	HL
220	0.167491087	-1.09244922	L1	Day0	HL
221	0.167491087	-1.09485529	L1	Day0	HL
222	0.041392685	-1.09485529	L1	Day0	HL
223	0.22184875	-1.09485529	L1	Day0	HL
224	0.167491087	-1.097274764	L1	Day0	HL
225	0.106455331	-1.097274764	L1	Day0	HL
226	0.329058719	-1.099707793	L1	Day0	HL
227	0.06694679	-1.102154529	L1	Day0	HL
228	0.109144469	-1.104615127	L1	Day0	HL
229	0.057991947	-1.107089747	L1	Day0	HL
230	0.045757491	-1.107089747	L1	Day0	HL
231	0	-1.107089747	L1	Day0	HL
232	0.051152522	-1.109578547	L1	Day0	HL
233	0	-1.112081692	L1	Day0	HL
234	0.057991947	-1.112081692	L1	Day0	HL
235	0	-1.114599348	L1	Day0	HL
236	0.22184875	-1.114599348	L1	Day0	HL
237	0.072550667	-1.114599348	L1	Day0	HL
238	0.388180171	-1.117131685	L1	Day0	HL
239	0.159700843	-1.117131685	L1	Day0	HL
240	0	-1.119678874	L1	Day0	HL
241	0.057991947	-1.119678874	L1	Day0	HL
242	0.119186408	-1.119678874	L1	Day0	HL
243	0	-1.122241091	L1	Day0	HL
244	0.037788561	-1.124818513	L1	Day0	HL
245	0.09017663	-1.124818513	L1	Day0	HL
246	0.227243782	-1.127411324	L1	Day0	HL
247	0.039508541	-1.127411324	L1	Day0	HL
248	0.243038049	-1.127411324	L1	Day0	HL
249	0.037788561	-1.127411324	L1	Day0	HL
250	0.036212173	-1.127411324	L1	Day0	HL
251	0.091770373	-1.130019707	L1	Day0	HL
252	0.020203386	-1.130019707	L1	Day0	HL
253	0.024823584	-1.132643851	L1	Day0	HL
254	0.070581074	-1.132643851	L1	Day0	HL
255	0.176091259	-1.135283947	L1	Day0	HL
256	0.079181246	-1.135283947	L1	Day0	HL
257	0.247784484	-1.137940191	L1	Day0	HL
258	0.096910013	-1.137940191	L1	Day0	HL
259	0.193820026	-1.137940191	L1	Day0	HL
260	0.074633618	-1.137940191	L1	Day0	HL
261	0.151267675	-1.137940191	L1	Day0	HL
262	0.082974235	-1.140612781	L1	Day0	HL
263	0.301029996	-1.140612781	L1	Day0	HL
264	0.119186408	-1.143301919	L1	Day0	HL
265	0.051152522	-1.143301919	L1	Day0	HL
266	0	-1.143301919	L1	Day0	HL
267	0.193820026	-1.143301919	L1	Day0	HL
268	0.029963223	-1.143301919	L1	Day0	HL
269	0.176091259	-1.146007813	L1	Day0	HL
270	0.21387982	-1.146007813	L1	Day0	HL
271	0	-1.146007813	L1	Day0	HL
272	0.023481096	-1.148730671	L1	Day0	HL
273	0.15490196	-1.148730671	L1	Day0	HL
274	0.151267675	-1.151470708	L1	Day0	HL
275	0.045757491	-1.151470708	L1	Day0	HL
276	0.151267675	-1.154228143	L1	Day0	HL
277	0.029963223	-1.157003197	L1	Day0	HL
278	0.193820026	-1.157003197	L1	Day0	HL
279	0.06069784	-1.157003197	L1	Day0	HL
280	0	-1.162607074	L1	Day0	HL
281	0.057991947	-1.162607074	L1	Day0	HL
282	0	-1.165436364	L1	Day0	HL
283	0.243038049	-1.165436364	L1	Day0	HL
284	0.029963223	-1.165436364	L1	Day0	HL
285	0.132625565	-1.165436364	L1	Day0	HL
286	0.301029996	-1.165436364	L1	Day0	HL
287	0.146128036	-1.165436364	L1	Day0	HL
288	0.074633618	-1.168284207	L1	Day0	HL
289	0.04830468	-1.171150848	L1	Day0	HL
290	0.113943352	-1.174036536	L1	Day0	HL
291	0.062147907	-1.174036536	L1	Day0	HL
292	0.15490196	-1.176941527	L1	Day0	HL
293	0.134698574	-1.176941527	L1	Day0	HL
294	0.157607853	-1.17986608	L1	Day0	HL
295	0.04830468	-1.17986608	L1	Day0	HL
296	0.074633618	-1.18281046	L1	Day0	HL
297	0	-1.18281046	L1	Day0	HL
298	0.084320886	-1.185774939	L1	Day0	HL
299	0.200914843	-1.188759793	L1	Day0	HL
300	0.109144469	-1.188759793	L1	Day0	HL
301	0.062147907	-1.188759793	L1	Day0	HL
302	0.243038049	-1.188759793	L1	Day0	HL
303	0.019305155	-1.191765303	L1	Day0	HL
304	0.22184875	-1.191765303	L1	Day0	HL
305	0.132625565	-1.191765303	L1	Day0	HL
306	0.255272505	-1.191765303	L1	Day0	HL
307	0.130333768	-1.194791758	L1	Day0	HL
308	0	-1.197839451	L1	Day0	HL
309	0.189056236	-1.197839451	L1	Day0	HL
310	0.057991947	-1.197839451	L1	Day0	HL
311	0.102662342	-1.197839451	L1	Day0	HL
312	0.301029996	-1.200908683	L1	Day0	HL
313	0.191885526	-1.200908683	L1	Day0	HL
314	0.021189299	-1.200908683	L1	Day0	HL
315	0.243038049	-1.20399976	L1	Day0	HL
316	0.208275942	-1.20399976	L1	Day0	HL
317	0.124938737	-1.20399976	L1	Day0	HL
318	0.079181246	-1.20399976	L1	Day0	HL
319	0.084320886	-1.207112995	L1	Day0	HL
320	0.09017663	-1.207112995	L1	Day0	HL
321	0	-1.210248709	L1	Day0	HL
322	0.15490196	-1.210248709	L1	Day0	HL
323	0.039508541	-1.216588887	L1	Day0	HL
324	0.151267675	-1.216588887	L1	Day0	HL
325	0.189056236	-1.219794027	L1	Day0	HL
326	0.116505569	-1.219794027	L1	Day0	HL
327	0.162727297	-1.219794027	L1	Day0	HL
328	0.15490196	-1.219794027	L1	Day0	HL
329	0.087150176	-1.219794027	L1	Day0	HL
330	0	-1.223022997	L1	Day0	HL
331	0.051152522	-1.226276154	L1	Day0	HL
332	0.263241435	-1.226276154	L1	Day0	HL
333	0.028028724	-1.226276154	L1	Day0	HL
334	0.029963223	-1.229553864	L1	Day0	HL
335	0.034762106	-1.229553864	L1	Day0	HL
336	0.09017663	-1.236184443	L1	Day0	HL
337	0.074633618	-1.236184443	L1	Day0	HL
338	0.342422681	-1.236184443	L1	Day0	HL
339	0.079181246	-1.239538085	L1	Day0	HL
340	0.116505569	-1.239538085	L1	Day0	HL
341	0.06694679	-1.239538085	L1	Day0	HL
342	0.062147907	-1.242917826	L1	Day0	HL
343	0.141329153	-1.242917826	L1	Day0	HL
344	0.176091259	-1.242917826	L1	Day0	HL
345	0.062147907	-1.246324074	L1	Day0	HL
346	0.096910013	-1.246324074	L1	Day0	HL
347	0	-1.246324074	L1	Day0	HL
348	0	-1.24975725	L1	Day0	HL
349	0.096910013	-1.253217782	L1	Day0	HL
350	0.06694679	-1.25670611	L1	Day0	HL
351	0.134698574	-1.25670611	L1	Day0	HL
352	0.029963223	-1.25670611	L1	Day0	HL
353	0.109144469	-1.260222684	L1	Day0	HL
354	0.352182518	-1.260222684	L1	Day0	HL
355	0.191885526	-1.263767965	L1	Day0	HL
356	0.234083206	-1.263767965	L1	Day0	HL
357	0	-1.263767965	L1	Day0	HL
358	0	-1.267342425	L1	Day0	HL
359	0.079181246	-1.267342425	L1	Day0	HL
360	0.278753601	-1.267342425	L1	Day0	HL
361	0.057991947	-1.267342425	L1	Day0	HL
362	0.230448921	-1.267342425	L1	Day0	HL
363	0.124938737	-1.267342425	L1	Day0	HL
364	0.113943352	-1.267342425	L1	Day0	HL
365	0	-1.270946549	L1	Day0	HL
366	0.189056236	-1.270946549	L1	Day0	HL
367	0	-1.270946549	L1	Day0	HL
368	0.191885526	-1.270946549	L1	Day0	HL
369	0.024823584	-1.274580834	L1	Day0	HL
370	0.084320886	-1.274580834	L1	Day0	HL
371	0.124938737	-1.274580834	L1	Day0	HL
372	0.146128036	-1.274580834	L1	Day0	HL
373	0.134698574	-1.278245788	L1	Day0	HL
374	0.057991947	-1.278245788	L1	Day0	HL
375	0	-1.278245788	L1	Day0	HL
376	0.041392685	-1.281941933	L1	Day0	HL
377	0.134698574	-1.281941933	L1	Day0	HL
378	0.146128036	-1.281941933	L1	Day0	HL
379	0.146128036	-1.281941933	L1	Day0	HL
380	0.176091259	-1.281941933	L1	Day0	HL
381	0.162727297	-1.285669806	L1	Day0	HL
382	0.034762106	-1.285669806	L1	Day0	HL
383	0.146128036	-1.285669806	L1	Day0	HL
384	0.096910013	-1.285669806	L1	Day0	HL
385	0.096910013	-1.285669806	L1	Day0	HL
386	0.191885526	-1.285669806	L1	Day0	HL
387	0.21387982	-1.285669806	L1	Day0	HL
388	0.134698574	-1.289429955	L1	Day0	HL
389	0.134698574	-1.289429955	L1	Day0	HL
390	0.034762106	-1.289429955	L1	Day0	HL
391	0.034762106	-1.289429955	L1	Day0	HL
392	0.034762106	-1.289429955	L1	Day0	HL
393	0	-1.289429955	L1	Day0	HL
394	0.146128036	-1.289429955	L1	Day0	HL
395	0.034762106	-1.293222944	L1	Day0	HL
396	0.09017663	-1.293222944	L1	Day0	HL
397	0	-1.293222944	L1	Day0	HL
398	0.359021943	-1.297049352	L1	Day0	HL
399	0.134698574	-1.297049352	L1	Day0	HL
400	0.104735351	-1.297049352	L1	Day0	HL
401	0.22184875	-1.300909773	L1	Day0	HL
402	0.124938737	-1.300909773	L1	Day0	HL
403	0.113943352	-1.300909773	L1	Day0	HL
404	0.113943352	-1.300909773	L1	Day0	HL
405	0.273001272	-1.300909773	L1	Day0	HL
406	0.062147907	-1.304804816	L1	Day0	HL
407	0.072550667	-1.304804816	L1	Day0	HL
408	0.057991947	-1.304804816	L1	Day0	HL
409	0.159700843	-1.304804816	L1	Day0	HL
410	0.196294645	-1.30873511	L1	Day0	HL
411	0.079181246	-1.30873511	L1	Day0	HL
412	0	-1.30873511	L1	Day0	HL
413	0.096910013	-1.30873511	L1	Day0	HL
414	0.034762106	-1.30873511	L1	Day0	HL
415	0.159700843	-1.312701297	L1	Day0	HL
416	0.301029996	-1.312701297	L1	Day0	HL
417	0.268845312	-1.312701297	L1	Day0	HL
418	0.109144469	-1.312701297	L1	Day0	HL
419	0.176091259	-1.312701297	L1	Day0	HL
420	0.096910013	-1.312701297	L1	Day0	HL
421	0	-1.315499339	L1	Day0	HL
422	0.151267675	-1.31670404	L1	Day0	HL
423	0.511883361	-1.31670404	L1	Day0	HL
424	0.268845312	-1.320744018	L1	Day0	HL
425	0.041392685	-1.320744018	L1	Day0	HL
426	0.419129308	-1.320744018	L1	Day0	HL
427	0.134698574	-1.320744018	L1	Day0	HL
428	0.425968732	-1.320744018	L1	Day0	HL
429	0	-1.320744018	L1	Day0	HL
430	0.367976785	-1.32482193	L1	Day0	HL
