Otu	HL1CKP1	HL1CKP2	HL1CKP3	HL1CKU1	HL1CKU2	HL1CKU3	HL1SP1	HL1SP2	HL1SP3	HL1SU1	HL1SU2	HL1SU3	HL2CKP1	HL2CKP2	HL2CKP3	HL2CKU1	HL2CKU2	HL2CKU3	HL2SP1	HL2SP2	HL2SP3	HL2SU1	HL2SU2	HL2SU3	HL3CKP1	HL3CKP2	HL3CKP3	HL3CKU1	HL3CKU2	HL3CKU3	HL3SP1	HL3SP2	HL3SP3	HL3SU1	HL3SU2	HL3SU3	SY1CKP1	SY1CKP2	SY1CKP3	SY1CKU1	SY1CKU2	SY1CKU3	SY1SP1	SY1SP2	SY1SP3	SY1SU1	SY1SU2	SY1SU3	SY2CKP1	SY2CKP2	SY2CKP3	SY2CKU1	SY2CKU2	SY2CKU3	SY2SP1	SY2SP2	SY2SP3	SY2SU1	SY2SU2	SY2SU3	SY3CKP1	SY3CKP2	SY3CKP3	SY3CKU1	SY3CKU2	SY3CKU3	SY3SP1	SY3SP2	SY3SP3	SY3SU1	SY3SU2	SY3SU3
Otu2520	 0	 0	 0	 0	 0	 7	 0	 0	 0	 0	 0	12	 1	 0	 0	 0	 0	64	 0	 1	 0	 0	 0	38	 0	 0	 1	 0	 0	24	 0	 0	 0	 0	 0	 9	 1	 0	 0	 0	 5	 2	 0	 0	 0	 1	 3	 0	 0	 0	 0	 1	17	 3	 0	 1	 0	 0	 4	 1	 0	 0	 0	 0	 2	 2	 1	 0	 0	 0	 1	 0
Otu2521	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 2	 0	 5	28	 0	 2	 0	 0	 1	14	 0	 0	 2	 0	 5	47	 2	 2	 0	 0	 2	15	 0	 0	 2	 0	 0	 8	 0	 0	 2	 0	 0	12	 0
Otu2522	 35	 47	 56	 20	  1	  0	 51	 45	 41	 18	  0	  0	120	 36	  8	  8	  1	  0	 85	 23	  8	  3	  1	  3	 53	  5	 12	  2	  3	  0	 48	  3	 22	  2	  0	  0	404	  7	  4	  2	  1	  1	298	  3	 16	  2	  4	  1	303	  4	  0	  1	  1	  2	139	  9	  2	  1	  0	  0	143	  1	  2	  0	  1	  4	 33	  2	  0	  0	  0	  0
Otu2523	  0	  2	  1	  5	  0	  1	  2	  0	  2	  7	  0	  2	  5	  0	  0	  3	  0	  2	  1	  1	  0	  3	  1	  1	  0	  0	  1	  4	  1	  1	  2	  0	  0	  0	  0	  0	  4	 10	  5	 14	  4	 24	115	  1	  3	 13	  2	  8	  1	  7	  4	 13	  3	 29	 28	  6	  5	  4	  3	  3	  3	  6	  0	  1	  1	  9	 17	  6	  5	  0	  2	  6
Otu2524	 0	30	19	56	 2	24	 1	23	15	80	 3	17	 8	41	 2	51	 9	85	 4	28	 1	60	18	78	 3	 4	10	16	21	17	 2	 4	 8	35	11	26	 6	12	 5	43	26	52	 3	 3	 4	35	30	79	 8	11	 8	32	37	60	 1	 3	 3	63	36	24	 5	 3	 4	 1	10	10	 0	 7	 4	 3	11	20
Otu2525	 0	 0	 1	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 1	 2	 3	38	 0	 0	 0	 3	 1	11	 0	 0	 1	 6	 5	51	 0	 0	 0	 3	 0	 7	 0	 0	 0	 0	 1	26	 0	 0	 0	 0	 4	 8
Otu2526	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 1	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 1	 1	 1	 0	 0	 0	 1	 0	 2	 0	 0	 0	 0	 0	 0	76	13	 3	 0	 0	 1	25	 3	 1	 0	 0	 0	71	12	18	 0	 0	 0	52	 9	 0	 0	 1	 0	 5	 2	 3	 0	 1	 0	 3	 4	 4
Otu2527	 0	 2	 0	 0	 0	 0	 0	 3	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	42	27	72	 1	 0	 0	12	 8	37	 0	 0	 0	76	49	91	 0	 0	 3	40	29	31	 0	 0	 1	47	28	33	 0	 0	 5	20	22	30	 0	 0	 2
Otu2528	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  2	  0	  0	  0	  0	  0	  0	  0	 18	 12	 43	  0	  1	  0	  6	  1	 22	  0	  0	  0	 14	109	 37	  1	  0	  0	 21	  9	 37	  0	  0	  0	 16	  0	 11	  0	  2	  0	 15	  0	 13	  0	  0	  0
Otu2529	  0	  0	  0	  0	  0	  0	  0	  1	  0	  1	  0	  0	  0	  1	  0	  0	  0	  1	  0	  0	  0	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  1	  0	  0	  0	  0	  4	  0	 11	  1	  1	  0	 37	 19	198	  0	  0	  0	  1	  6	  5	  1	  0	  1	 47	 23	 31	  0	  0	  0	  0	  0	  2	  0	  0	  0	  1	  2	 22
Otu253	 19	 85	159	 43	  0	  2	 28	 73	128	 40	  0	  4	100	 68	 14	 34	  3	  8	 75	 74	 25	 29	  0	  2	 46	 17	 52	 11	  5	  5	 34	 10	 76	 15	  1	  2	 38	 36	 38	164	234	223	 16	 16	 29	 40	 89	137	 29	 31	 34	159	274	257	 25	 26	 12	 64	146	 73	 21	 18	  8	  7	 53	 84	 21	 22	 15	  8	 73	 74
Otu2530	  0	  2	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  1	  0	  0	  0	  0	  0	  0	  0	  1	  0	  0	  0	  2	  8	  1	  0	  0	  0	  2	  2	  2	  0	  0	  0	145	 22	  7	  0	  0	  0	 33	115	 10	  1	  0	  0	164	 80	 22	  0	  2	  0	 20	 84	  2	  0	  2	  2
Otu2531	13	24	36	 2	 0	 0	10	13	32	 0	 0	 0	27	29	 1	 0	 1	 0	14	28	 8	 1	 0	 1	17	 2	16	 0	 0	 0	 7	 0	22	 0	 0	 0	 8	12	11	 1	 2	 1	10	 7	 5	 1	 1	 0	 9	19	10	 1	 0	 1	 3	15	 4	 0	 0	 1	 4	 1	 6	 0	 0	 0	 5	 0	 2	 0	 1	 0
Otu2532	 85	 39	 66	  1	  0	  0	 50	 28	 35	  0	  0	  0	208	 68	  7	  0	  0	  2	 97	 23	  6	  0	  0	  1	 95	  1	 21	  0	  0	  0	 37	  0	 22	  0	  0	  0	 10	  2	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  2	  0	  3	  0	  0	  0	  0	  0	  1	  0	  0	  0	  0	  0	  0	  1	  0	  0	  0	  0	  0
Otu2533	 6	 3	 8	 1	 0	 0	12	 7	 9	 4	 0	 0	17	 0	 1	 0	 0	 0	11	 3	 0	 0	 0	 0	10	 0	 3	 0	 0	 0	 7	 0	 3	 0	 0	 1	 0	 1	 0	 0	 1	 1	 0	 1	 0	 0	 0	 0	 1	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
Otu2534	11	 0	 0	 0	 0	 0	17	 3	 0	 0	 0	 0	47	 0	 0	 0	 2	 0	18	 0	 0	 0	 0	 0	17	 0	 0	 0	 0	 0	13	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
Otu2535	 4	 7	38	26	 0	 6	 4	 6	25	16	 1	 0	17	17	 2	25	 0	 7	15	 5	 2	 6	 1	 3	 4	 2	14	 2	 5	 4	 4	 0	18	 6	 0	 1	 0	 2	 2	 6	 3	 1	 0	 1	 0	 2	 1	 1	 0	 1	 0	 6	 1	 1	 0	 2	 0	 1	 0	 2	 1	 0	 0	 0	 0	 0	 1	 0	 0	 2	 2	 0
Otu2536	 0	12	10	 1	 0	 0	 0	 7	 6	 3	 0	 0	 1	21	 0	 4	 0	 1	 3	16	 3	 3	 0	 0	 6	 2	 7	 4	 0	 0	 1	 2	25	 0	 1	 0	 1	 4	 1	 1	 1	 0	 1	 1	 1	 1	 1	 1	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
Otu2538	 0	19	67	35	 0	 1	 2	14	34	43	 0	 0	10	44	10	46	 0	 1	 6	16	 8	 7	 0	 0	 8	 1	25	 4	 0	 0	 6	 0	31	20	 0	 0	 0	 6	 0	 0	 2	 0	 0	 2	 0	 0	 0	 0	 0	 1	 1	 1	 0	 1	 0	 0	 1	 0	 0	 2	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
Otu2539	14	12	36	 0	 0	 0	12	10	31	 0	 0	 0	50	 9	 7	 0	 0	 0	27	12	 5	 0	 0	 0	25	 0	12	 1	 0	 1	17	 0	22	 0	 0	 0	 2	10	 1	 0	 0	 0	 0	 4	 1	 1	 0	 0	 0	 5	 1	 0	 0	 0	 4	 2	 1	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 1	 0
Otu254	 65	153	192	  1	  0	  0	 64	 74	125	  4	  0	  0	200	131	 12	  2	  1	  2	147	 84	 23	  5	  0	  3	116	  5	 45	  0	  0	  1	 54	  3	 59	  1	  0	  0	  2	  4	  1	  0	  7	  1	  1	  1	  2	  0	  7	  1	  2	  4	  3	  1	  0	  7	  0	  1	  1	  1	  3	  0	  1	  1	  0	  1	  0	  1	  3	  1	  2	  1	  0	  0
Otu2540	 2	19	21	 3	 0	 0	 4	16	17	 2	 0	 0	11	29	 3	 4	 0	 2	 5	23	 2	 2	 0	 0	 8	 5	 8	 0	 0	 0	 3	 0	 6	 1	 0	 0	 0	 1	 0	 0	 0	 0	 1	 1	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
Otu2541	 0	 3	 0	 4	 0	 0	 0	 1	 0	 4	 0	 0	 4	 2	 0	 3	 0	 1	 0	 0	 0	 2	 0	 0	 1	 2	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	54	49	55	 2	 7	12	16	10	19	 0	 2	 5	64	56	76	 1	16	13	17	24	34	 0	 1	 1	39	23	28	 0	 5	 7	16	13	22	 0	 1	 4
Otu2542	 6	46	34	 6	 0	 0	 1	39	32	 8	 0	 0	20	50	 3	 5	 0	 0	21	40	 9	 6	 1	 0	16	11	18	 1	 1	 0	 7	 1	17	 1	 0	 0	 1	 1	 1	 0	 1	 0	 1	 2	 0	 0	 3	 2	 1	 0	 0	 0	 2	 0	 1	 1	 0	 0	 1	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0
Otu2543	 5	37	26	29	 1	 0	 2	34	25	24	 1	 0	15	54	 3	43	 2	 0	14	34	 0	22	 0	 0	 3	 4	 4	 7	 4	 0	 5	 0	18	 6	 3	 1	 0	 0	 1	 0	 2	 0	 0	 1	 0	 0	 1	 0	 0	 0	 0	 1	 0	 1	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0
