# Constructed from biom file																																				
#OTU ID	HL1HFP1	HL1HFP2	HL1HFP3	HL1HFU1	HL1HFU2	HL1HFU3	HL2HFP1	HL2HFP2	HL2HFP3	HL2HFU1	HL2HFU2	HL2HFU3	HL3HFP1	HL3HFP2	HL3HFP3	HL3HFU1	HL3HFU2	HL3HFU3	SY1HFP1	SY1HFP2	SY1HFP3	SY1HFU1	SY1HFU2	SY1HFU3	SY2HFP1	SY2HFP2	SY2HFP3	SY2HFU1	SY2HFU2	SY2HFU3	SY3HFP1	SY3HFP2	SY3HFP3	SY3HFU1	SY3HFU2	SY3HFU3
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;o__Capnodiales_unclassified;o__Capnodiales_unclassified	0	0	5.05E-05	0	0	0	0	0	0	0	0	0	0	0	0.002805765	0	0	0	0	0	0	0	0	0	5.87E-06	0	0	2.19E-05	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;g__Selenophoma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.10E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideomycetes_order_Incertae_sedis;f__Dothideomycetes_family_Incertae_sedis;g__Leptospora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideomycetes_order_Incertae_sedis;f__Dothideomycetes_family_Incertae_sedis;g__Minutisphaera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000109763	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideomycetes_order_Incertae_sedis;f__Eremomycetaceae;g__Arthrographis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000297411	0.000514202	0	0	0	0	2.18E-05	5.99E-05	0	0	0	0	1.94E-05	0.000142886
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideomycetes_order_Incertae_sedis;f__Myxotrichaceae;g__Oidiodendron	0	5.63E-06	0	1.10E-05	0	2.54E-05	0	0	0	0	0	0	1.46E-05	0	0	0	0	0	5.86E-05	0	0	0	0	0	0	0.00011009	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideomycetes_order_Incertae_sedis;f__Pseudeurotiaceae;g__Pseudeurotium	0.000191345	2.81E-05	0.000316777	0.000115961	5.46E-05	4.23E-05	0.000309981	0	0.001396865	0	0	0.000110465	0.000438744	0.000410341	0	0	0.000108928	9.54E-05	0.00066264	0.000347673	3.62E-06	0	2.41E-05	4.39E-06	0	0.000518994	6.46E-06	0	0	0	0	0	0	0	0.000136065	4.00E-05
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideomycetes_order_Incertae_sedis;f__Pseudeurotiaceae;g__Pseudogymnoascus	0.003806762	0.00085012	0.123001207	0.001049167	0.001254979	0.002839733	0.000998829	0.001298144	0.048114233	0.000797734	0.00022078	0.000815337	0.000219372	0.003693065	0.019257748	0.000784123	0.000152499	0.000429123	0.002392541	0.001720068	0.000184617	6.47E-05	6.43E-05	5.27E-05	0.000140988	0.002681471	0.000710232	2.19E-05	3.26E-05	6.33E-05	0.000348385	6.10E-05	0.00013289	0	0.00027213	0.000434373
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Jahnulales;f__Aliquandostipitaceae;g__Xylomyces	0	0	1.84E-05	0	0	0	1.15E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	9.77E-05	0.000129419	3.22E-05	0	0	1.57E-05	0	2.19E-05	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Patellariales;f__Patellariaceae;g__Rhytidhysteron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
