,Control,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Level 8
Otu3630,6.113248852,4.084963839,5.181812973,6.131455888,6.471741529,6.922000702,7.057416232,6.896186981,6.971423879
Otu3631,5.770826188,4.061741374,4.579157272,5.998752278,6.076446966,6.178573646,6.345829125,6.794509588,6.367899516
Otu3632,0,3.595122171,4.78424303,5.595106194,6.202462645,6.68952094,6.313609581,0,6.841415118
Otu36324,5.548977438,4.094645502,4.945718642,5.533363826,6.125036188,6.743605979,6.448101121,6.765177087,6.656810287
Otu3633,5.071856184,3.294092175,4.218002006,0,0,0,0,0,6.352961779
Otu3634,6.071856156,4.447448048,5.108645148,6.248279199,6.560122234,6.768438387,7.176991362,6.843696747,6.661524863
Otu3635,5.071856184,3.942687374,4.572321057,5.210315178,6.035800219,5.902981813,6.750639802,5.993404548,0
Otu3636,5.77082617,4.314884801,4.945696905,6.108320083,5.902993021,6.624015964,6.7524318,6.695605587,7.056087455
Otu36368,5.071856184,3.258619857,4.330334539,4.99306218,5.709712827,5.956172913,5.894308026,5.99203669,0
Otu36369,6.026098693,4.289735404,5.074279527,5.9934902,6.367512526,6.934845883,6.857800422,5.993404548,6.352961779
Otu3637,5.071856184,3.294092175,4.330334539,5.041910747,5.514403598,5.956172913,6.485118023,6.30749521,0
Otu3638,5.071856184,0,4.60622704,0,0,6.352693524,6.006089386,6.022012108,0
Otu364,6.762052245,5.020122406,5.886137417,6.730375639,7.218317699,7.543472321,7.75435487,7.693698279,7.533392987
Otu3642,5.372886179,3.258619857,4.079699308,0,5.759364157,5.902981813,0,6.321368656,0
Otu36422,5.77082617,3.957366229,4.898783353,5.90050704,5.956499802,6.188605478,6.609840431,6.585860992,6.668929511
Otu36434,0,3.568250025,0,0,5.815114901,0,6.002402206,0,0
Otu3644,5.850007434,4.079490955,4.719331036,5.210315178,6.06298664,6.378781233,6.634138595,6.612100609,0
Otu36452,6.56321786,4.885528232,5.69961642,6.492845806,6.954998395,7.612146322,7.46030352,7.330028469,7.138724204
Otu3646,5.372886179,3.634511187,0,5.514011201,5.964816898,6.411356687,6.471614044,6.599837727,0
Otu3647,5.673916175,3.86928002,4.739065467,5.953658989,5.921446801,6.537670785,6.683565146,6.789696175,6.367899516
Otu3648,5.548977438,3.397988309,4.036771108,5.698952617,6.27049061,6.866945313,6.786756839,6.695940361,6.347406139
Otu3649,5.673916175,3.694890031,4.766465876,5.349139742,6.162302908,6.601805956,6.951200091,6.790099367,6.652649697
Otu365,7.113248853,5.36542436,6.119606244,7.037606737,7.560846315,7.915322575,7.987949772,7.782818014,7.319920583
Otu3650,5.673916175,4.028886737,4.844373485,5.592007965,6.092178679,6.223866643,6.253329969,6.489805332,6.662918327
Otu3651,5.071856184,0,4.815235589,5.319202896,6.201041697,6.509620897,6.371429281,6.488291385,0
Otu3652,5.850007434,3.971699128,4.838157554,5.966289434,5.902993021,6.411356687,6.792116763,6.298759748,0
Otu36521,5.850007434,4.171655954,4.403777402,5.734343778,6.159379392,6.197962924,6.617360722,6.284132313,0
Otu36525,0,3.790395829,4.437802193,4.99306218,0,0,6.31179725,0,0
Otu3653,5.850007419,4.482258369,5.281900717,5.684973705,6.496212802,6.957280198,6.003452495,6.943978172,0
Otu3654,5.548977438,3.258619857,4.642982582,5.628400636,5.490518845,5.920867055,6.646859121,5.99203669,0
Otu36540,0,3.068562942,4.322737357,5.210315178,5.815114901,6.690325722,6.339806228,6.479659062,0
Otu36545,5.071856184,3.79243999,4.160010059,5.096958314,6.108736415,0,6.345829125,5.99203669,6.367899516
Otu36549,5.916954211,4.352545672,5.263413898,6.066753097,6.579050973,7.246491674,6.945969302,6.855569842,6.648436135
Otu3655,0,3.516184159,4.519032002,5.634407905,5.939744675,6.178573646,6.639984044,0,6.363996021
Otu36556,5.071856184,3.496835629,4.599806991,4.99306218,5.400342215,6.396035806,6.496095476,0,0
Otu3656,5.673916152,3.687656273,4.491003278,5.327700776,5.788303101,6.50860196,6.320004217,0,0
Otu3657,5.673916175,4.174507402,4.834592644,5.845475101,6.395335215,6.497406952,6.80724332,6.699322249,0
Otu36577,5.071856184,3.258619857,4.855707515,0,0,5.920867055,6.345829125,6.020429755,0
Otu3658,5.548977438,3.933074023,4.380729304,5.349139742,0,6.525287166,6.303957664,6.604926814,0
Otu3659,5.071856184,3.853523777,4.475280494,5.210315178,0,6.518524312,0,0,6.367899516
Otu3660,5.770826188,4.223021041,4.437802193,5.763962536,6.18787241,6.692994707,6.52601642,6.70826428,6.352961779
Otu36605,5.071856184,3.995683495,4.475280494,0,5.536437753,0,6.195338022,6.29885571,6.347406139
Otu3665,0,3.397988309,0,0,0,0,0,0,0
Otu36655,6.820044194,4.9267479,5.730409682,6.75338481,7.132385297,7.579768133,7.509839358,7.43748473,7.256925553
Otu36670,6.026098683,4.440568082,5.113846876,5.83131305,6.509595663,7.074102743,7.118497081,6.850000819,6.964938718
Otu367,7.302305088,5.655788415,6.357277908,7.29334555,7.697081282,8.15234822,8.159408885,8.025766767,7.961575317
Otu3671,0,0,0,0,0,0,5.894308026,0,0
Otu3672,5.673916152,3.595122171,0,5.041910747,6.116144896,6.394711816,6.253329969,6.479659062,6.656810287
Otu3673,5.548977408,0,4.901110072,5.657798177,6.071728697,6.373375804,6.446772183,5.973980278,6.363996021
Otu3674,5.77082617,3.849086084,4.905976626,5.79031673,5.902993021,6.178573646,6.303432202,6.308973833,6.369850917
Otu3675,6.113248861,4.228825196,4.820061998,6.048074714,6.042551457,6.772545504,6.620549838,6.479381364,6.653991774
Otu3676,5.673916175,0,4.680019439,5.041910747,5.536437753,6.241798405,0,6.714016932,0
Otu3677,0,0,0,0,0,0,6.002402206,0,0
Otu36770,5.071856184,3.86928002,4.728364194,5.492875621,5.91483025,6.194333537,6.312312694,6.307401139,6.355792776
Otu36779,5.372886179,3.421510737,4.579157272,5.631578615,5.778271101,5.883404663,6.904927062,6.592881206,0
Otu368,7.312405415,5.495944105,6.357266392,7.302304681,7.673843496,8.111296948,8.218918281,7.956072671,7.742520241
Otu3681,5.071856184,0,0,5.041910747,6.090958999,0,0,6.321459751,0
Otu36814,5.850007434,3.738887765,4.021707361,5.727920551,5.705562541,0,0,6.482550263,0
Otu36839,6.151037415,3.951874469,4.847523351,6.086559219,6.364869733,6.979420129,6.736298297,6.022012108,6.670880913
Otu3684,5.673916175,4.099323249,4.998212748,5.788364373,6.177900678,6.373375804,6.837304284,6.322160719,6.347406139
Otu3685,0,3.559649853,0,5.511345173,0,0,6.002402206,6.478830025,0
Otu3686,0,0,4.554499197,4.99306218,5.514403598,6.374766357,6.643252342,6.299689875,0
Otu36863,6.113248852,4.166028981,5.236488154,6.351768886,6.529832556,6.914990484,7.05583246,6.912497965,6.836987226
Otu36864,7.202189935,5.489895739,6.220736364,7.238559242,7.610220005,8.064328969,8.114701163,8.031425714,7.950111698
Otu36866,5.372886179,3.577748075,4.036771108,5.342940743,5.921446801,6.433294167,6.254815189,5.973980278,0
Otu3687,5.548977438,4.236385096,5.191804652,5.041910747,6.488345927,6.61884476,6.338585362,6.609342956,0
Otu36870,5.673916175,4.011843245,4.999648603,5.848457369,5.837467749,5.902981813,6.686304769,6.616199253,0
Otu36879,5.673916175,3.685052649,4.437802193,5.20276204,5.975748517,6.225827344,6.622898576,0,6.363996021
Otu369,0,0,0,0,0,0,6.018974221,0,0
Otu3690,5.372886179,3.976947311,4.419987859,5.511345173,5.536437753,6.359437401,6.018974221,6.479276409,6.835119583
Otu3691,5.770826188,4.005922195,4.578820113,5.294092175,6.124647038,6.484648523,6.623281724,6.785130487,6.363996021
Otu3692,5.77082617,3.79243999,4.491003278,5.586281001,5.400342215,5.883404663,6.018974221,0,6.66698215
Otu3693,5.071856184,3.166849484,4.437802193,0,0,6.370994124,6.711721495,6.294434544,6.367899516
Otu3694,5.548977438,3.797865625,4.475280494,5.20276204,5.514403598,5.924797348,6.371429281,6.022012108,6.369850917
Otu36948,6.275976149,4.204018122,5.241254466,6.350346448,6.679208493,7.131641619,7.111207342,7.130484552,6.844376889
Otu3695,5.673916175,4.256260065,4.758198719,5.430771098,6.266178056,0,6.783881826,6.786763106,6.66698215
Otu3696,5.850007419,3.843161747,4.747701306,5.623517543,6.064993336,6.74884502,6.303432202,6.298759748,0
Otu3697,5.974946159,4.40741423,5.047984774,6.016588313,6.382442027,6.754855575,7.046695105,6.602043968,0
Otu36977,5.673916152,4.407815599,5.130809251,6.039892979,6.364594952,6.759098398,7.163181593,6.693940347,6.959306027
Otu3698,5.071856184,4.106419757,4.021707361,5.210315178,5.408682831,6.392408135,0,0,0
Otu3699,5.673916175,3.421510737,0,5.416164271,6.217870775,5.956172913,6.805171181,6.69905336,0
Otu36998,6.275976155,4.401144156,5.251260867,6.060589271,6.678789466,7.019236095,7.244437117,7.118369985,6.839447166
Otu3703,0,0,0,5.210315178,0,0,0,0,0
Otu37034,5.372886179,3.59864776,4.413817826,5.416164271,5.775754573,5.920867055,0,5.99203669,6.367899516
Otu37042,6.452067406,4.585943106,5.597951896,6.516174596,6.889776328,7.055882613,7.40377438,7.184067315,7.060332665
Otu37044,5.372886179,3.741493441,4.438268625,5.725640785,6.220245165,6.628081763,6.725472348,6.469614377,0
Otu3705,5.974946171,3.884744789,4.330334539,5.20276204,6.104521692,5.871602456,6.002402206,0,0
Otu3706,5.548977438,4.230681762,4.56601864,5.848410807,6.064813969,5.883404663,6.870875028,6.022012108,6.363996021
Otu37060,5.548977438,4.416159582,4.792033274,5.838122685,6.181462865,6.200043841,0,6.479827182,0
Otu3707,5.372886179,3.821987919,0,5.311221502,0,6.241798405,6.006089386,6.457673294,0
Otu37072,6.56321786,4.9348593,5.629172897,6.537518655,7.019226663,7.434104899,7.411208757,7.156462012,7.35975052
Otu3708,5.548977438,4.209075414,4.873325374,5.508931675,5.95883353,6.392108023,6.982664659,0,6.957937356
Otu3709,5.071856184,3.634511187,4.671690905,5.458354754,6.046605868,5.924797348,6.627306984,0,0
Otu37093,6.372886161,4.217125972,5.380854358,6.294720576,6.793017616,7.037476735,7.239075248,7.114987094,6.661524863
Otu371,6.673916159,4.952865973,5.711656345,6.651714531,7.129507532,7.51891797,7.704015697,7.388063167,7.401577908
Otu3710,6.56321786,4.968567774,5.607887133,6.661516951,6.981317873,7.572238745,7.384511092,7.412680886,7.445088514
Otu37106,5.916954211,4.189956974,4.968103889,5.689215601,6.687519249,7.026958178,6.880638031,6.785299163,7.05538937
Otu37109,5.372886179,3.808675822,4.90998363,5.873210533,6.171543653,6.679014257,6.763157451,6.322251648,0
Otu3711,6.302305084,3.762124845,5.265689785,5.98519612,6.442702687,6.892506541,7.001210423,6.705406693,6.347406139
Otu3712,5.071856184,3.902091644,4.874466618,5.458354754,6.039681766,6.730907663,6.646859121,0,0
Otu3713,5.372886179,3.872361746,4.079699308,5.210315178,6.441360069,6.810013106,6.819985392,6.022012108,6.347406139
Otu3714,5.850007419,0,4.595689966,5.733247404,6.303840117,6.22234109,6.582086898,6.284132313,6.846322678
Otu3715,5.974946159,4.102765062,4.893933027,5.679883294,6.036277659,6.80868064,6.791946074,6.844007496,0
Otu37151,0,0,0,5.096958314,0,0,0,0,0
Otu37158,5.673916175,0,4.489068779,5.397988309,5.918902655,6.523371086,6.613991617,6.691554355,0
Otu37159,5.071856184,3.474936118,4.160010059,5.397988309,0,6.215056542,6.303957664,6.022012108,0
Otu3716,0,0,4.160010059,5.041910747,0,5.902981813,6.303432202,6.3080634,0
Otu3717,5.071856184,3.732797729,4.5833832,5.210315178,5.902993021,5.956172913,6.195338022,6.321368656,6.369850917
Otu3719,0,0,4.188038783,5.518201619,5.709712827,5.920867055,0,0,0
Otu37200,6.433584,5.036470315,5.750207782,6.651250069,6.956843958,7.499675132,7.423429565,7.483601513,7.507396037
Otu37225,6.071856175,4.377636058,5.064551901,6.251175991,6.056467017,6.958009417,7.104935781,6.848856561,6.670880913
Otu37228,5.548977438,0,4.688676056,6.024043936,5.930211303,6.369591421,6.006089386,6.585860992,6.355792776
Otu3724,5.974946159,3.568250025,4.807854082,6.322428131,6.469839364,6.67883004,6.609840431,6.690073567,0
Otu3725,5.673916175,4.321156972,4.722395326,4.99306218,5.731335434,6.804475985,6.855466857,5.973980278,6.363996021
